City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,kailua-kona,19.6406,-155.9956,24.72,71,20,0.0,US,1707074105
332,flying fish cove,-10.4217,105.6791,24.82,94,100,1.54,CX,1707074149
333,lata,40.1629,-8.3327,14.9,80,100,0.33,PT,1707074207
334,gaalkacyo,6.7697,47.4308,23.59,66,9,8.95,SO,1707074207
335,al jahra',29.3375,47.6581,15.9,39,20,1.52,KW,1707074207
336,benjamin constant,-4.3831,-70.0311,26.07,94,75,3.6,BR,1707074208
337,fisterra,42.9049,-9.2629,12.64,82,83,0.3,ES,1707074208
338,kario ghanwar,24.8082,68.6045,20.96,77,14,2.82,PK,1707074208
339,bakhmach,51.1808,32.7569,1.54,84,100,6.0,UA,1707074208
340,shahr-e babak,30.1165,55.1186,2.86,21,0,1.8,IR,1707074208
341,leshan,29.5623,103.7639,7.72,82,100,1.0,CN,1707074209
342,lampazos de naranjo,27.0167,-100.5167,24.6,11,0,8.07,MX,1707074209
343,vrangel',42.7297,133.0839,-10.45,67,89,5.25,RU,1707074193
344,el nido,11.1858,119.3956,26.53,80,6,5.25,PH,1707074209
345,kualakapuas,-3.0091,114.3876,23.59,98,100,0.66,ID,1707074209
346,hastings,50.8552,0.5729,11.66,44,100,10.66,GB,1707074209
347,pullman,46.7313,-117.1796,6.13,95,75,4.12,US,1707074208
348,luumaki,60.9262,27.5814,-0.97,95,98,2.42,FI,1707074186
349,mogadishu,2.0371,45.3438,26.49,86,100,10.0,SO,1707074210
350,kapuskasing,49.4169,-82.4331,5.0,52,20,1.03,CA,1707074135
351,quelimane,-17.8786,36.8883,27.97,78,20,2.57,MZ,1707074210
352,chui,-33.6971,-53.4616,24.38,59,34,6.12,UY,1707074193
353,san luis de la loma,17.2706,-100.8939,28.96,46,0,5.3,MX,1707074210
354,buriti dos lopes,-3.175,-41.8669,31.86,58,74,5.05,BR,1707074210
355,qaqortoq,60.7167,-46.0333,-19.92,70,0,2.07,GL,1707074211
356,boden,65.8252,21.6886,-5.0,98,95,2.09,SE,1707074211
357,cabedelo,-6.9811,-34.8339,31.37,64,0,6.27,BR,1707074211
358,alghero,40.5589,8.3181,14.05,88,40,4.12,IT,1707074211
